L4 | Thu Feb 14 12:40:21 2019 (160 ms) | general | New game starting up
L4 | Thu Feb 14 12:40:21 2019 (160 ms) | general | Target game image size:  1024x600

L4 | Thu Feb 14 12:40:21 2019 (174 ms) | general | Ideal window dimensions:  1280x720

L4 | Thu Feb 14 12:40:21 2019 (184 ms) | general | Trying to start in fullscreen mode.
L4 | Thu Feb 14 12:40:21 2019 (207 ms) | general | The following frame rates are considered possible:
L4 | Thu Feb 14 12:40:21 2019 (207 ms) | general | 30 fps
L4 | Thu Feb 14 12:40:21 2019 (207 ms) | general | 60 fps
L4 | Thu Feb 14 12:40:21 2019 (207 ms) | general | 120 fps
L4 | Thu Feb 14 12:40:21 2019 (207 ms) | general | 144 fps
L4 | Thu Feb 14 12:40:21 2019 (247 ms) | general | Setting borderless mode for fullscreen
L4 | Thu Feb 14 12:40:21 2019 (248 ms) | general | Current screen configuration is 1360x663 with aspect ratio 2.05
L4 | Thu Feb 14 12:40:21 2019 (248 ms) | general | All resolutions available
L4 | Thu Feb 14 12:40:21 2019 (248 ms) | general | Sticking with user's current screen resolution
L4 | Thu Feb 14 12:40:21 2019 (248 ms) | general | Adding 1 to borderless window height of 663 resulting in total height of 664
L4 | Thu Feb 14 12:40:21 2019 (459 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Thu Feb 14 12:40:24 2019 (305 ms) | general | Measured frame rate = 117.588923 fps

L4 | Thu Feb 14 12:40:24 2019 (305 ms) | general | Closest possible frame rate = 120 fps

L4 | Thu Feb 14 12:40:24 2019 (305 ms) | general | Vsync seems to be enforcing an allowed frame rate of 120 fps.

L4 | Thu Feb 14 12:40:24 2019 (306 ms) | general | Recording game into file recordedGames/recordedGame000057.txt
L4 | Thu Feb 14 12:40:24 2019 (341 ms) | general | Only keeping 20 past recordings
L4 | Thu Feb 14 12:40:24 2019 (341 ms) | general | Removed 1 stale recordings
L1 | Thu Feb 14 12:41:17 2019 (745 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y0.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (746 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y0_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (746 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y0.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (746 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y0_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (746 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y0.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (746 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y0_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (746 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y0.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (746 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y0_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (747 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y1.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (747 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y1_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (747 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y1.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (747 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y1_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (747 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y1.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (747 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y1_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (747 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y1.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (748 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y1_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (748 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y2.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (748 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y2_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (748 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y2.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (748 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y2_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (748 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y2.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (748 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y2_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (748 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y2.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (749 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y2_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (749 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y3.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (749 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y3_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (749 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y3.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (749 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y3_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (749 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y3.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (749 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y3_square.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (749 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y3.tga does not exist
L1 | Thu Feb 14 12:41:17 2019 (749 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y3_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (147 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x0_y0.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (147 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x0_y0_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (147 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x1_y0.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (147 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x1_y0_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (147 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x2_y0.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (148 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x2_y0_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (148 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x3_y0.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (148 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x3_y0_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (148 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x0_y1.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (148 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x0_y1_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (148 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x1_y1.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (149 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x1_y1_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (149 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x2_y1.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (149 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x2_y1_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (149 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x3_y1.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (149 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x3_y1_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (149 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x0_y2.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (150 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x0_y2_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (150 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x1_y2.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (150 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x1_y2_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (151 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x2_y2.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (151 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x2_y2_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (151 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x3_y2.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (151 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x3_y2_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (151 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x0_y3.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (151 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x0_y3_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (152 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x1_y3.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (152 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x1_y3_square.tga does not exist
L1 | Thu Feb 14 12:41:19 2019 (152 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x2_y3.tga does not exist
